"Table 2--Rye: planted acreage, harvested acreage, production, yield, and farm price",,,,,
Marketing year 1/,Planted acreage,Harvested acreage,Production,Yield,Weighted-average farm price
1952/53,"3,186","1,393","16,146",11.6,1.72
1953/54,"3,456","1,430","18,894",13.2,1.29
1954/55,"4,178","1,795","25,963",14.5,1.21
1955/56,"5,133","2,049","29,089",14.2,1.06
1956/57,"4,546","1,624","21,288",13.1,1.15
1957/58,"4,415","1,718","28,516",16.6,1.07
1958/59,"4,390","1,797","33,182",18.5,1.02
1959/60,"4,013","1,457","23,076",15.8,1.0
1960/61,"4,111","1,688","33,108",19.6,.88
1961/62,"4,157","1,543","27,336",17.7,1.01
1962/63,"4,880","1,981","40,698",20.5,.95
1963/64,"4,376","1,588","29,178",18.4,1.08
1964/65,"4,552","1,696","32,476",19.1,1.03
1965/66,"4,237","1,473","33,307",22.6,.98
1966/67,"3,980","1,276","27,791",21.8,1.06
1967/68,"3,660","1,063","23,949",22.5,1.07
1968/69,"3,425",996,"22,971",23.1,1.02
1969/70,"3,959","1,291","30,204",23.4,1.01
1970/71,"4,196","1,427","36,840",25.8,.99
1971/72,"4,842","1,751","49,223",28.1,.90
1972/73,"3,458","1,050","28,256",26.9,.96
1973/74,"3,380",955,"24,677",25.8,1.91
1974/75,"2,828",784,"17,506",22.3,2.51
1975/76,"2,791",728,"15,924",21.9,2.36
1976/77,"2,604",719,"14,891",20.7,2.47
1977/78,"2,555",677,"16,543",24.4,2.06
1978/79,"2,865",926,"24,065",26.0,1.99
1979/80,"2,839",850,"21,887",25.7,2.07
1980/81,"2,488",650,"15,958",24.6,2.63
1981/82,"2,566",685,"18,187",26.6,3.0
1982/83,"2,533",677,"19,533",28.9,2.40
1983/84,"2,707",892,"27,008",30.3,2.17
1984/85,"2,971",979,"32,407",33.1,2.0
1985/86,"2,543",708,"20,373",28.8,2.03
1986/87,"2,334",661,"19,067",28.8,1.48
1987/88,"2,428",671,"19,526",29.1,1.62
1988/89,"2,374",595,"14,689",24.7,2.52
1989/90,"2,014",484,"13,647",28.2,2.06
1990/91,"1,625",375,"10,176",27.1,2.09
1991/92,"1,671",395,"9,734",24.6,2.20
1992/93,"1,542",391,"11,440",29.3,2.38
1993/94,"1,493",381,"10,340",27.1,2.55
1994/95,"1,613",407,"11,341",27.9,2.70
1995/96,"1,602",385,"10,064",26.1,2.90
1996/97,"1,457",345,"8,936",25.9,3.70
1997/98,"1,400",316,"8,132",25.7,3.75
1998/99,"1,566",418,"12,161",29.1,2.50
1999/00,"1,582",383,"11,038",28.8,2.27
2000/01,"1,329",296,"8,386",28.3,2.60
2001/02,"1,328",250,"6,896",27.6,2.86
2002/03,"1,355",263,"6,488",24.7,3.32
2003/04,"1,348",319,"8,634",27.1,2.93
2004/05,"1,380",300,"8,255",27.5,3.22
2005/06,"1,433",279,"7,537",27.0,3.30
2006/07,"1,396",274,"7,193",26.3,3.32
2007/08,"1,334",252,"6,311",25.0,5.01
2008/09,"1,345",286,"8,315",29.1,6.35
2009/10,"1,256",251,"6,791",27.1,5.06
2010/11,"1,256",270,"7,480",27.7,5.18
2011/12,"1,227",239,"6,051",25.3,7.81
2012/13,"1,271",250,"6,542",26.2,7.69
2013/14,"1,451",278,"7,626",27.4,7.95
2014/15,"1,434",258,"7,189",27.9,7.74
2015/16,"1,584",365,"11,616",31.8,6.50
2016/17,"1,891",411,"13,337",32.5,5.12
2017/18,"1,961",300,"10,252",34.2,4.70
2018/19,"2,021",274,"8,454",30.9,6.27
2019/20,"1,875",312,"10,668",34.2,6.0
2020/21,"1,975",332,"11,582",34.9,5.35
2021/22,"2,133",294,"9,808",33.4,6.76
2022/23,"2,175",345,"12,453",36.1,7.17
2023/24,"2,293",322,"10,375",32.2,6.90
Note: -- = no data.,,,,,
1/ June-May. Latest data may be preliminary or projected.,,,,,
"Source: USDA, National Agricultural Statistics Service, Crop Production and Agricultural Prices.",,,,,
Date run: 3/8/2024 1:25:53 PM,,,,,
